EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 115709 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115709,19540316,   15,    0
115709,19540317,   25,    0
115709,19540318,   12,    0
115709,19540319,   20,    0
115709,19540320,   24,    0
115709,19540321,   12,    0
115709,19540322,   34,    0
115709,19540323,   19,    0
115709,19540324,   64,    0
115709,19540325,   60,    0
115709,19540326,   66,    0
115709,19540327,   39,    0
115709,19540328,   13,    0
115709,19540329,   12,    0
115709,19540330,   40,    0
115709,19540331,   40,    0
115709,19540401,   89,    0
115709,19540402,   61,    0
115709,19540403,   68,    0
115709,19540404,   39,    0
115709,19540405,   44,    0
115709,19540406,   50,    0
115709,19540407,   36,    0
115709,19540408,   38,    0
115709,19540409,   42,    0
115709,19540410,   59,    0
115709,19540411,   37,    0
115709,19540412,   25,    0
115709,19540413,   35,    0
115709,19540414,   38,    0
115709,19540415,   87,    0
115709,19540416,   56,    0
115709,19540417,   55,    0
115709,19540418,   47,    0
115709,19540419,   35,    0
115709,19540420,   29,    0
115709,19540421,   20,    0
115709,19540422,   21,    0
115709,19540423,   10,    0
115709,19540424,   13,    0
115709,19540425,   23,    0
115709,19540426,   34,    0
115709,19540427,   28,    0
115709,19540428,   25,    0
115709,19540429,   32,    0
115709,19540430,   28,    0
115709,19540501,   17,    0
115709,19540502,   50,    0
115709,19540503,   31,    0
115709,19540504,   31,    0
115709,19540505,   26,    0
115709,19540506,   37,    0
115709,19540507,   40,    0
115709,19540508,   29,    0
115709,19540509,   37,    0
115709,19540510,   26,    0
115709,19540511,   30,    0
115709,19540512,   28,    0
115709,19540513,   34,    0
115709,19540514,   35,    0
115709,19540515,   39,    0
115709,19540516,   36,    0
115709,19540517,   51,    0
115709,19540518,   56,    0
115709,19540519,   47,    0
115709,19540520,   52,    0
115709,19540521,   32,    0
115709,19540522,   23,    0
115709,19540523,   21,    0
115709,19540524,   20,    0
115709,19540525,   29,    0
115709,19540526,   11,    0
115709,19540527,   16,    0
115709,19540528,   17,    0
115709,19540529,   24,    0
115709,19540530,   15,    0
115709,19540531,   25,    0
115709,19540601,   39,    0
115709,19540602,   22,    0
115709,19540603,   22,    0
115709,19540604,   33,    0
115709,19540605,   19,    0
115709,19540606,   30,    0
115709,19540607,   23,    0
115709,19540608,   24,    0
115709,19540609,   21,    0
115709,19540610,   46,    0
115709,19540611,   29,    0
115709,19540612,   23,    0
115709,19540613,   41,    0
115709,19540614,   42,    0
115709,19540615,   17,    0
115709,19540616,   21,    0
115709,19540617,   19,    0
115709,19540618,   18,    0
115709,19540619,   18,    0
115709,19540620,   12,    0
115709,19540621,   19,    0
115709,19540622,   22,    0
115709,19540623,   31,    0
115709,19540624,   16,    0
115709,19540625,   30,    0
115709,19540626,   56,    0
115709,19540627,   42,    0
115709,19540628,   22,    0
115709,19540629,   11,    0
115709,19540630,   21,    0
115709,19540701,   37,    0
115709,19540702,   48,    0
115709,19540703,   48,    0
115709,19540704,   50,    0
115709,19540705,   45,    0
115709,19540706,   40,    0
115709,19540707,   30,    0
115709,19540708,   54,    0
115709,19540709,   36,    0
115709,19540710,   39,    0
115709,19540711,   34,    0
115709,19540712,   37,    0
115709,19540713,   42,    0
115709,19540714,   53,    0
115709,19540715,   49,    0
115709,19540716,   49,    0
115709,19540717,   57,    0
115709,19540718,   82,    0
115709,19540719,   52,    0
115709,19540720,   23,    0
115709,19540721,   21,    0
115709,19540722,   30,    0
115709,19540723,   31,    0
115709,19540724,   24,    0
115709,19540725,   38,    0
115709,19540726,   69,    0
115709,19540727,   45,    0
115709,19540728,   49,    0
115709,19540729,   54,    0
115709,19540730,   41,    0
115709,19540731,   26,    0
115709,19540801,   23,    0
115709,19540802,   19,    0
115709,19540803,   17,    0
115709,19540804,   26,    0
115709,19540805,   13,    0
115709,19540806,   23,    0
115709,19540807,   50,    0
115709,19540808,   34,    0
115709,19540809,   54,    0
115709,19540810,   55,    0
115709,19540811,   60,    0
115709,19540812,   54,    0
115709,19540813,   32,    0
115709,19540814,   25,    0
115709,19540815,   57,    0
115709,19540816,   24,    0
115709,19540817,   10,    0
115709,19540818,   25,    0
115709,19540819,   32,    0
115709,19540820,   15,    0
115709,19540821,   26,    0
115709,19540822,   43,    0
115709,19540823,   60,    0
115709,19540824,   44,    0
115709,19540825,   26,    0
115709,19540826,   20,    0
115709,19540827,   10,    0
115709,19540828,   13,    0
115709,19540829,   29,    0
115709,19540830,   40,    0
115709,19540831,   23,    0
115709,19540901,   15,    0
115709,19540902,   18,    0
115709,19540903,   19,    0
115709,19540904,   13,    0
115709,19540905,   29,    0
115709,19540906,   25,    0
115709,19540907,   18,    0
115709,19540908,   24,    0
115709,19540909,   16,    0
115709,19540910,   48,    0
115709,19540911,   50,    0
115709,19540912,   41,    0
115709,19540913,   34,    0
115709,19540914,   16,    0
115709,19540915,   39,    0
115709,19540916,   69,    0
115709,19540917,   35,    0
115709,19540918,   40,    0
115709,19540919,   44,    0
115709,19540920,   52,    0
115709,19540921,   45,    0
115709,19540922,   53,    0
115709,19540923,   21,    0
115709,19540924,   22,    0
115709,19540925,   70,    0
115709,19540926,   62,    0
115709,19540927,   38,    0
115709,19540928,   14,    0
115709,19540929,   52,    0
115709,19540930,   84,    0
115709,19541001,   80,    0
115709,19541002,   28,    0
115709,19541003,   22,    0
115709,19541004,   40,    0
115709,19541005,   23,    0
115709,19541006,   55,    0
115709,19541007,   50,    0
115709,19541008,   15,    0
115709,19541009,   19,    0
115709,19541010,   23,    0
115709,19541011,   12,    0
115709,19541012,    7,    0
115709,19541013,   10,    0
115709,19541014,   22,    0
115709,19541015,   25,    0
115709,19541016,   37,    0
115709,19541017,   25,    0
115709,19541018,   27,    0
115709,19541019,   79,    0
115709,19541020,   37,    0
115709,19541021,   30,    0
115709,19541022,   33,    0
115709,19541023,   56,    0
115709,19541024,   55,    0
115709,19541025,   46,    0
115709,19541026,   27,    0
115709,19541027,   33,    0
115709,19541028,   27,    0
115709,19541029,   16,    0
115709,19541030,   23,    0
115709,19541031,   22,    0
115709,19541101,   13,    0
115709,19541102,   17,    0
115709,19541103,   53,    0
115709,19541104,   21,    0
115709,19541105,   21,    0
115709,19541106,   16,    0
115709,19541107,   35,    0
115709,19541108,   32,    0
115709,19541109,   20,    0
115709,19541110,   14,    0
115709,19541111,   42,    0
115709,19541112,   34,    0
115709,19541113,   26,    0
115709,19541114,   42,    0
115709,19541115,   40,    0
115709,19541116,   27,    0
115709,19541117,   14,    0
115709,19541118,   19,    0
115709,19541119,   21,    0
115709,19541120,   26,    0
115709,19541121,   21,    0
115709,19541122,   13,    0
115709,19541123,   24,    0
115709,19541124,   14,    0
115709,19541125,   24,    0
115709,19541126,   32,    0
115709,19541127,   48,    0
115709,19541128,   23,    0
115709,19541129,   40,    0
115709,19541130,   46,    0
115709,19541201,   22,    0
115709,19541202,    8,    0
115709,19541203,   23,    0
115709,19541204,   49,    0
115709,19541205,   70,    0
115709,19541206,   41,    0
115709,19541207,   28,    0
115709,19541208,   22,    0
115709,19541209,   25,    0
115709,19541210,   22,    0
115709,19541211,   27,    0
115709,19541212,   36,    0
115709,19541213,   40,    0
115709,19541214,   39,    0
115709,19541215,   45,    0
115709,19541216,   16,    0
115709,19541217,   15,    0
115709,19541218,   11,    0
115709,19541219,   17,    0
115709,19541220,   16,    0
115709,19541221,   92,    0
115709,19541222,   96,    0
115709,19541223,  117,    0
115709,19541224,   97,    0
115709,19541225,   68,    0
115709,19541226,   90,    0
115709,19541227,   56,    0
115709,19541228,   32,    0
115709,19541229,   20,    0
115709,19541230,   17,    0
115709,19541231,   43,    0
115709,19550101,   37,    0
115709,19550102,   37,    0
115709,19550103,   52,    0
115709,19550104,   51,    0
115709,19550105,   36,    0
115709,19550106,   20,    0
115709,19550107,   26,    0
115709,19550108,   12,    0
115709,19550109,   10,    0
115709,19550110,   38,    0
115709,19550111,   91,    0
115709,19550112,   26,    0
115709,19550113,   39,    0
115709,19550114,   89,    0
115709,19550115,   31,    0
115709,19550116,   66,    0
115709,19550117,   90,    0
115709,19550118,   50,    0
115709,19550119,   32,    0
115709,19550120,    6,    0
115709,19550121,   10,    0
115709,19550122,   13,    0
115709,19550123,   20,    0
115709,19550124,   20,    0
115709,19550125,   20,    0
115709,19550126,    9,    0
115709,19550127,   11,    0
115709,19550128,   11,    0
115709,19550129,    7,    0
115709,19550130,    9,    0
115709,19550131,   16,    0
115709,19550201,   13,    0
115709,19550202,   14,    0
115709,19550203,   44,    0
115709,19550204,   76,    0
115709,19550205,   96,    0
115709,19550206,   38,    0
115709,19550207,   39,    0
115709,19550208,   81,    0
115709,19550209,   62,    0
115709,19550210,   80,    0
115709,19550211,   47,    0
115709,19550212,   42,    0
115709,19550213,   24,    0
115709,19550214,   48,    0
115709,19550215,   53,    0
115709,19550216,   24,    0
115709,19550217,   25,    0
115709,19550218,    8,    0
115709,19550219,   27,    0
115709,19550220,   59,    0
115709,19550221,   35,    0
115709,19550222,   22,    0
115709,19550223,   42,    0
115709,19550224,   30,    0
115709,19550225,   56,    0
115709,19550226,   36,    0
115709,19550227,   33,    0
115709,19550228,   47,    0
115709,19550301,   59,    0
115709,19550302,   43,    0
115709,19550303,   64,    0
115709,19550304,   25,    0
115709,19550305,   44,    0
115709,19550306,   27,    0
115709,19550307,   17,    0
115709,19550308,   15,    0
115709,19550309,   25,    0
115709,19550310,   62,    0
115709,19550311,   67,    0
115709,19550312,   43,    0
115709,19550313,   18,    0
115709,19550314,   16,    0
115709,19550315,   16,    0
115709,19550316,   34,    0
115709,19550317,   56,    0
115709,19550318,   63,    0
115709,19550319,   70,    0
115709,19550320,   32,    0
115709,19550321,   37,    0
115709,19550322,   46,    0
115709,19550323,   60,    0
115709,19550324,   65,    0
115709,19550325,   43,    0
115709,19550326,   55,    0
115709,19550327,   68,    0
115709,19550328,   43,    0
115709,19550329,   25,    0
115709,19550330,   52,    0
115709,19550331,   36,    0
115709,19550401,   31,    0
115709,19550402,   31,    0
115709,19550403,   27,    0
115709,19550404,   61,    0
115709,19550405,   27,    0
115709,19550406,   15,    0
115709,19550407,   33,    0
115709,19550408,   58,    0
115709,19550409,   52,    0
115709,19550410,   40,    0
115709,19550411,   71,    0
115709,19550412,   51,    0
115709,19550413,   25,    0
115709,19550414,   68,    0
115709,19550415,   40,    0
115709,19550416,   37,    0
115709,19550417,   27,    0
115709,19550418,   41,    0
115709,19550419,   24,    0
115709,19550420,   16,    0
115709,19550421,   40,    0
115709,19550422,   26,    0
115709,19550423,   16,    0
115709,19550424,   57,    0
115709,19550425,   26,    0
115709,19550426,   24,    0
115709,19550427,   38,    0
115709,19550428,   14,    0
115709,19550429,   20,    0
115709,19550430,   24,    0
115709,19550501,   35,    0
115709,19550502,   61,    0
115709,19550503,   39,    0
115709,19550504,   46,    0
115709,19550505,   61,    0
115709,19550506,   51,    0
115709,19550507,   67,    0
115709,19550508,   23,    0
115709,19550509,   50,    0
115709,19550510,   62,    0
115709,19550511,   42,    0
115709,19550512,   16,    0
115709,19550513,   48,    0
115709,19550514,   73,    0
115709,19550515,   51,    0
115709,19550516,   50,    0
115709,19550517,   47,    0
115709,19550518,   70,    0
115709,19550519,   55,    0
115709,19550520,   50,    0
115709,19550521,   32,    0
115709,19550522,   49,    0
115709,19550523,   17,    0
115709,19550524,   17,    0
115709,19550525,   18,    0
115709,19550526,   28,    0
115709,19550527,   46,    0
115709,19550528,   54,    0
115709,19550529,   28,    0
115709,19550530,   25,    0
115709,19550531,   24,    0
115709,19550601,   21,    0
115709,19550602,   26,    0
115709,19550603,   36,    0
115709,19550604,   33,    0
115709,19550605,   21,    0
115709,19550606,   18,    0
115709,19550607,   34,    0
115709,19550608,   48,    0
115709,19550609,   32,    0
115709,19550610,   71,    0
115709,19550611,   22,    0
115709,19550612,   41,    0
115709,19550613,   71,    0
115709,19550614,   22,    0
115709,19550615,   16,    0
115709,19550616,   25,    0
115709,19550617,   26,    0
115709,19550618,   17,    0
115709,19550619,   21,    0
115709,19550620,   28,    0
115709,19550621,   24,    0
115709,19550622,   31,    0
115709,19550623,   16,    0
115709,19550624,   17,    0
115709,19550625,   20,    0
115709,19550626,   30,    0
115709,19550627,   21,    0
115709,19550628,   16,    0
115709,19550629,   15,    0
115709,19550630,   43,    0
115709,19550701,   17,    0
115709,19550702,   38,    0
115709,19550703,   28,    0
115709,19550704,   55,    0
115709,19550705,   51,    0
115709,19550706,   37,    0
115709,19550707,   39,    0
115709,19550708,   34,    0
115709,19550709,   25,    0
115709,19550710,   18,    0
115709,19550711,   16,    0
115709,19550712,   16,    0
115709,19550713,   27,    0
115709,19550714,   11,    0
115709,19550715,   13,    0
115709,19550716,   17,    0
115709,19550717,    8,    0
115709,19550718,   24,    0
115709,19550719,   32,    0
115709,19550720,   25,    0
115709,19550721,   20,    0
115709,19550722,   31,    0
115709,19550723,   14,    0
115709,19550724,   27,    0
115709,19550725,   25,    0
115709,19550726,   36,    0
115709,19550727,   19,    0
115709,19550728,   28,    0
115709,19550729,   41,    0
115709,19550730,   38,    0
115709,19550731,   19,    0
115709,19550801,   17,    0
115709,19550802,   20,    0
115709,19550803,   24,    0
115709,19550804,   37,    0
